1,Financiación básica
10,CAPITAL
100,Dotación fundacional
101,Fondo social
103,Fundadores/asociados por desembolsos no exigidos
1030,Fundadores por desembolsos no exigidos
1034,Asociados por desembolsos no exigidos
104,Fundadores/asociados por aportaciones no dinerarias pendientes
1040,Fundadores por aportaciones no dinerarias pendientes
1044,Asociados por aportaciones no dinerarias pendientes
11,RESERVAS
111,Reservas estatutarias
113,Reservas voluntarias
114,Reservas especiales
12,EXCEDENTES PENDIENTES DE APLICACIÓN
120,Remanente
121,Excedentes negativos de ejercicios anteriores
129,Excedente del ejercicio
13,SUBVENCIONES, DONACIONES, LEGADOS Y OTROS AJUSTES EN EL PATRIMONIO NETO
130,Subvenciones oficiales de capital
1300,Subvenciones del Estado
1301,Subvenciones de otras Administraciones Públicas
131,Donaciones y legados de capital
132,Otras subvenciones, donaciones y legados
1320,Otras subvenciones
1321,Otras donaciones y legados
137,Ingresos fiscales a distribuir en varios ejercicios
1370,Ingresos fiscales por diferencias permanentes a distribuir en varios ejercicios
1371,Ingresos fiscales por deducciones y bonificaciones a distribuir en varios ejercicios
14,PROVISIONES
141,Provisión para impuestos
142,Provisión para otras responsabilidades
143,Provisión por desmantelamiento, retiro o rehabilitación del inmovilizado
145,Provisión para actuaciones medioambientales
16,DEUDAS A LARGO PLAZO CON PARTES VINCULADAS
160,Deudas a largo plazo con entidades de crédito vinculadas
1603,Deudas a largo plazo con entidades de crédito, entidades del grupo
1604,Deudas a largo plazo con entidades de crédito, entidades asociadas
1605,Deudas a largo plazo con otras entidades de crédito vinculadas
161,Proveedores de inmovilizado a largo plazo, partes vinculadas
1613,Proveedores de inmovilizado a largo plazo, entidades del grupo
1614,Proveedores de inmovilizado a largo plazo, entidades asociadas
1615,Proveedores de inmovilizado a largo plazo, otras partes vinculadas
162,Acreedores por arrendamiento financiero a largo plazo, partes vinculadas
1623,Acreedores por arrendamiento financiero a largo plazo, entidades de grupo
1624,Acreedores por arrendamiento financiero a largo plazo, entidades asociadas
1625,Acreedores por arrendamiento financiero a largo plazo, otras partes vinculadas
163,Otras deudas a largo plazo con partes vinculadas
1633,Otras deudas a largo plazo, entidades del grupo
1634,Otras deudas a largo plazo, entidades asociadas
1635,Otras deudas a largo plazo, con otras partes vinculadas
17,DEUDAS A LARGO PLAZO POR PRÉSTAMOS RECIBIDOS, EMPRÉSTITOS Y OTROS CONCEPTOS
170,Deudas a largo plazo con entidades de crédito
171,Deudas a largo plazo
172,Deudas a largo plazo transformables en subvenciones, donaciones y legados
1720,Deudas a largo plazo transformables en subvenciones
1721,Deudas a largo plazo transformables en donaciones y legados
173,Proveedores de inmovilizado a largo plazo
174,Acreedores por arrendamiento financiero a largo plazo
175,Efectos a pagar a largo plazo
176,Pasivos por derivados financieros a largo plazo
177,Obligaciones y bonos
179,Deudas representadas en otros valores negociables
18,PASIVOS POR FIANZAS, GARANTÍAS Y OTROS CONCEPTOS A LARGO PLAZO
180,Fianzas recibidas a largo plazo
181,Anticipos recibidos por ventas o prestaciones de servicios a largo plazo
185,Depósitos recibidos a largo plazo
2,Activo no corriente
20,INMOVILIZACIONES INTANGIBLES
200,Investigación
201,Desarrollo
202,Concesiones administrativas
203,Propiedad industrial
205,Derechos de traspaso
206,Aplicaciones informáticas
207,Derechos sobre activos cedidos en uso
209,Anticipos para inmovilizaciones intangibles
21,INMOVILIZACIONES MATERIALES
210,Terrenos y bienes naturales
211,Construcciones
212,Instalaciones técnicas
213,Maquinaria
214,Utillaje
215,Otras instalaciones
216,Mobiliario
217,Equipos para procesos de información
218,Elementos de transporte
219,Otro inmovilizado material
22,INVERSIONES INMOBILIARIAS
220,Inversiones en terrenos y bienes naturales
221,Inversiones en construcciones
23,INMOVILIZACIONES MATERIALES EN CURSO
230,Adaptación de terrenos y bienes naturales
231,Construcciones en curso
232,Instalaciones técnicas en montaje
233,Maquinaria en montaje
237,Equipos para procesos de información en montaje
239,Anticipos para inmovilizaciones materiales
24,BIENES DEL PATRIMONIO HISTÓRICO
240,Bienes inmuebles
2400,Monumentos
2401,Jardines históricos
2402,Conjuntos históricos
2403,Sitios históricos
2404,Zonas arqueológicas
241,Archivos
242,Bibliotecas
243,Museos
244,Bienes muebles
249,Anticipos sobre bienes del Patrimonio Histórico
2490,Anticipos sobre bienes inmuebles del Patrimonio Histórico
2491,Anticipos sobre archivos del Patrimonio Histórico
2492,Anticipos sobre bibliotecas del Patrimonio Histórico
2493,Anticipos sobre museos del Patrimonio Histórico
2494,Anticipos sobre bienes muebles del Patrimonio Histórico
25,INVERSIONES FINANCIERAS A LARGO PLAZO EN PARTES VINCULADAS
250,Participaciones a largo plazo en partes vinculadas
2503,Participaciones a largo plazo en entidades del grupo
2504,Participaciones a largo plazo en entidades asociadas
2505,Participaciones a largo plazo en otras partes vinculadas
251,Valores representativos de deuda a largo plazo de partes vinculadas
2513,Valores representativos de deuda a largo plazo de entidades del grupo
2514,Valores representativos de deuda a largo plazo de entidades asociadas
2515,Valores representativos de deuda a largo plazo de otras partes vinculadas
252,Créditos a largo plazo a partes vinculadas
2523,Créditos a largo plazo a entidades del grupo
2524,Créditos a largo plazo a entidades asociadas
2525,Créditos a largo plazo a otras partes vinculadas
259,Desembolsos pendientes sobre participaciones a largo plazo en partes vinculadas
2593,Desembolsos pendientes sobre participaciones a largo plazo en entidades del grupo
2594,Desembolsos pendientes sobre participaciones a largo plazo en entidades asociadas
2595,Desembolsos pendientes sobre participaciones a largo plazo en otras partes vinculadas
26,OTRAS INVERSIONES FINANCIERAS A LARGO PLAZO
260,Inversiones financieras a largo plazo en instrumentos de patrimonio
261,Valores representativos de deuda a largo plazo
262,Créditos a largo plazo
263,Créditos a largo plazo por enajenación de inmovilizado
264,Créditos a largo plazo al personal
265,Activos por derivados financieros a largo plazo
268,Imposiciones a largo plazo
269,Desembolsos pendientes sobre participaciones en el patrimonio neto a largo plazo
27,FIANZAS Y DEPÓSITOS CONSTITUIDOS A LARGO PLAZO
270,Fianzas constituidas a largo plazo
275,Depósitos constituidos a largo plazo
28,AMORTIZACIÓN ACUMULADA DEL INMOVILIZADO Y OTRAS CUENTAS CORRECTORAS
280,Amortización acumulada del inmovilizado intangible
2800,Amortización acumulada de investigación
2801,Amortización acumulada de desarrollo
2802,Amortización acumulada de concesiones administrativas
2803,Amortización acumulada de propiedad industrial
2805,Amortización acumulada de derechos de traspaso
2806,Amortización acumulada de aplicaciones informáticas
2807,Amortización acumulada de derechos sobre activos cedidos en uso
281,Amortización acumulada del inmovilizado material
